Soil Order,Mineralogy Class,Texture Class,Genetic Horizons,Soil Depth,pH 1:5 W,pH 1:5 CaCl2,pH 1:1 W,pH 1:2 CaCl2,Extractable Acidity,CEC,CEC Sum Bases,EC 1:2 W
,,Fine Loamy,A,30,5.09,4.74,4.88,4.69,36.9884091,25.1521145,4.8,0.348
,,Clayey,A,60,5.19,4.77,5.28,5.13,24.1982961,14.054727,1.8,0.348
,,Clayey,B,100,5.35,5,5.51,5.52,18.1493716,10.420673,2,0.348
,,Clayey,B,200,5.25,5.04,5.5,5.63,18.4385545,8.6713687,0.8,0.348
,,Fine Loamy,A,200,5.32,5.17,5.57,5.78,18.0760587,7.128437,0.7,0.348
,,Fine Loamy,B,350,5.38,5.21,5.87,5.73,17.876017,8.3341662,0.9,0.348
ALFISOLS,,Coarse Loamy,A,15,6.39,6.13,5.42,4.87,3.0485378,3.9050031,2.2,0.049
ALFISOLS,,Coarse Loamy,A,60,6.29,5.7,5.54,4.8,2.1345647,2.3847395,1.7,0.049
ALFISOLS,,Clayey,B,100,6.43,5.46,6.14,5.29,8.0094225,14.7726668,11.8,0.049
ALFISOLS,,Fine Loamy,B,200,6.31,5.21,5.42,4.85,5.4066193,13.039624,10.5,0.049
ALFISOLS,,Fine Loamy,C,200,6.68,5.41,5.79,5.3,2.1354844,10.3107343,9.1,0.049
ALFISOLS,,Fine Loamy,C,200,7.66,5.63,6.37,5.89,1.6408141,9.2284731,9.1,0.049
ALFISOLS,kaolinitic,Fine Loamy,A,15,6.01,5.37,6.04,5.3,10.237572,11.091155,7.4,0.049
ALFISOLS,kaolinitic,Clayey,B,60,5.94,5.38,5.87,5.37,9.8555338,13.2860342,7.2,0.049
ALFISOLS,kaolinitic,Clayey,B,100,5.99,5.35,6.27,5.43,10.6270342,11.154405,7.3,0.049
ALFISOLS,kaolinitic,Clayey,B,200,5.99,5.44,6.15,5.45,10.6485716,12.1012913,7.9,0.049
ALFISOLS,kaolinitic,Clayey,B,200,5.94,5.36,5.83,5.25,10.7552354,11.6136852,7.9,0.049
ALFISOLS,kaolinitic,Clayey,B,200,6.02,5.32,4.58,5.22,9.9378943,9.6060503,6.9,0.049
ALFISOLS,kaolinitic,Clayey,B,200,5.93,5.29,5.88,5.25,7.8189558,8.9266967,6.6,0.049
ALFISOLS,kaolinitic,Fine Silty,B,100,5.2,4.33,5.26,4.47,7.0637967,5.3020894,2.7,0.049
ALFISOLS,kaolinitic,Clayey,B,200,4.78,3.93,4.98,4.13,10.4196853,7.8655165,3.3,0.049
ALFISOLS,kaolinitic,Fine Silty,B,100,6.14,5.17,6.34,5.79,6.269194,7.2239436,5.9,0.049
ALFISOLS,kaolinitic,Fine Silty,B,200,5.7,4.96,5.6,4.83,6.3024346,7.9916332,5.1,0.049
ALFISOLS,kaolinitic,Clayey,B,200,5.62,4.95,5.59,4.93,8.0692088,11.97586,9.6,0.049
ALFISOLS,kaolinitic,Fine Silty,B,60,6.14,5.27,6.4,5.86,6.5030022,7.2172465,6.2,0.049
ALFISOLS,kaolinitic,Fine Silty,B,100,6.32,5.45,6.68,6.09,4.2315413,6.4666473,5.8,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,200,6.24,5.51,6.58,6.01,4.279154,6.7585499,5.4,0.049
ALFISOLS,kaolinitic,Clayey,B,200,6.21,5.55,6.52,6,4.521668,6.5727914,5.8,0.049
ALFISOLS,kaolinitic,Clayey,B,350,6.12,5.43,5.85,5.42,7.3952276,8.2821102,6.8,0.049
ALFISOLS,kaolinitic,Clayey,B,200,4.85,4.57,5.01,4.64,12.742968,17.1383751,12.3,0.049
ALFISOLS,kaolinitic,Clayey,A,15,5.58,5.09,5.86,5.16,38.872968,33.3705217,15.8,0.049
ALFISOLS,kaolinitic,Clayey,A,60,5.78,5.08,6.24,5.31,25.9678435,26.4766611,12.8,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,100,6.09,5.37,6.55,5.6,20.558695,23.659242,11.8,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,100,6.11,5.57,6.64,5.7,18.5501627,21.844286,11,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,200,6.08,5.53,6.56,5.71,18.6923368,21.1494683,10.8,0.049
ALFISOLS,kaolinitic,Clayey,B,100,4.72,3.85,4.72,3.85,24.598367,23.9705726,4.8,0.049
ALFISOLS,kaolinitic,Clayey,B,200,4.66,3.72,4.71,3.78,25.6612706,25.5740668,5,0.049
ALFISOLS,kaolinitic,Sandy,A,15,6.33,5.57,6.19,5.46,1.3368102,1.9875463,2.2,0.049
ALFISOLS,kaolinitic,Coarse Loamy,B,100,6.18,5.63,6.03,5.55,2.0237265,2.3972593,2,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,200,5.12,4.82,4.86,4.29,3.9813968,4.0655069,2.1,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,200,4.77,4.57,5.06,4.39,4.2627053,4.608854,2.6,0.049
ALFISOLS,kaolinitic,Fine Loamy,B,350,5.19,4.75,5.28,4.65,3.1018041,3.84128,2.6,0.049
ALFISOLS,mixed,Coarse Loamy,C,200,5.38,4.34,5.52,4.47,7.5120629,6.9159627,2.7,0.049
ALFISOLS,mixed,Fine Silty,B,100,6.09,5,6.93,6.21,3.884,5.0971814,4.4,0.049
ALFISOLS,mixed,Clayey,B,350,5.37,4.57,4.89,4.35,15.3538069,14.7121882,7.9,0.049
ALFISOLS,mixed,Fine Silty,B,200,5.15,4.56,5.09,4.44,9.2376499,7.7292556,4.2,0.049
ALFISOLS,mixed,Clayey,B,350,5.09,4.74,5.15,4.89,14.1047551,24.3056989,19.1,0.049
ALFISOLS,mixed,Fine Loamy,B,60,6.39,5.36,6.79,6.12,3.6877289,6.8055265,7.6,0.049
ALFISOLS,mixed,Fine Loamy,B,100,5.54,5.53,6.88,6.15,3.7882746,7.0900052,7.8,0.049
ALFISOLS,mixed,Fine Loamy,B,100,6.68,5.58,6.89,6.14,2.8200907,5.7095716,6.3,0.049
ALFISOLS,mixed,Fine Loamy,B,200,6.72,5.59,6.96,6.18,3.3991122,6.3097038,7.1,0.049
ALFISOLS,mixed,Fine Loamy,B,200,6.84,5.67,7.04,6.21,3.0229055,9.1172153,9.1,0.049
ALFISOLS,mixed,Fine Silty,B,30,5.85,4.79,5.58,4.77,13.145744,17.6490049,13.9,0.049
ALFISOLS,mixed,Clayey,B,60,5.4,4.1,5.02,4.2,16.1560517,16.9946325,8.9,0.049
ALFISOLS,mixed,Clayey,B,100,5.5,4.3,5.01,4.36,12.6561475,14.7240616,12,0.049
ALFISOLS,mixed,Coarse Loamy,A,15,4.2,3.9,4.18,3.52,40.763935,19.9692555,4.2,0.049
ALFISOLS,mixed,Coarse Loamy,B,30,4.24,3.92,4.33,3.79,15.2602714,8.5956962,0.5,0.049
ALFISOLS,mixed,Coarse Loamy,B,100,4.42,4,4.51,3.83,6.3228144,4.7852987,0.3,0.049
ALFISOLS,mixed,Coarse Loamy,B,200,4.67,4.06,4.82,4.03,4.3675634,5.564286,3.9,0.049
ALFISOLS,mixed,Fine Loamy,B,200,4.99,4.22,4.79,4.12,3.1640328,5.8063439,6,0.049
ALFISOLS,mixed,Coarse Loamy,B,200,5.17,4.44,5.25,4.4,3.3328554,5.2825685,5.8,0.049
ALFISOLS,mixed,Fine Loamy,B,60,6.25,6.17,5.27,4.72,8.7981748,5.6746743,4.4,0.049
ALFISOLS,mixed,Fine Loamy,B,60,6.27,5.96,5.77,5.17,8.1595072,5.5197758,4.8,0.049
ALFISOLS,mixed,Sandy,A,60,6.48,5.93,6.17,5.64,2.0579494,2.1137964,2.2,0.049
ALFISOLS,mixed,Sandy,A,60,7.09,6.09,7.05,6.22,2.5394269,2.5735937,2.6,0.049
ALFISOLS,mixed,Clayey,B,200,6.99,6.05,7.02,6.29,6.1943983,14.6824901,15.3,0.049
ALFISOLS,mixed,Clayey,B,200,7.01,6.09,7.15,6.41,1.5276257,14.6765491,15.9,0.049
ALFISOLS,mixed,Coarse Loamy,A,15,5.95,5.01,6.09,5.5,6.921445,16.5987927,14.1,0.049
ALFISOLS,mixed,Coarse Loamy,A,15,4.74,4.24,4.99,4.19,24.3748827,24.0988264,9.2,0.049
ALFISOLS,mixed,Sandy,C,350,6.26,5.81,6.47,5.79,1.0830762,4.0584969,4,0.049
ALFISOLS,mixed,Coarse Loamy,A,15,6.57,5.75,6.58,6.065,3.2545062,7.5354051,8.1,0.049
ALFISOLS,mixed,Coarse Loamy,A,30,6.67,5.923,6.68,6.19,4.6532678,7.4753936,8.7,0.049
ALFISOLS,mixed,Coarse Loamy,A,60,5.05,4.65,4.99,4.8,,,,0.049
ALFISOLS,mixed,Coarse Loamy,C,350,8.23,7.1,7.86,7.82,,1.005573,,0.049
ALFISOLS,mixed,Coarse Loamy,A,15,4.47,4.11,4.8,4.12,9.130211,10.40953,6.7,0.049
ALFISOLS,mixed,Coarse Loamy,A,30,5.01,4.38,4.89,4.27,6.220014,8.810901,5.8,0.049
ALFISOLS,mixed,Coarse Loamy,A,60,5.67,4.73,5.4,4.62,4.614719,11.62698,7.9,0.049
ALFISOLS,smectitic,Coarse Loamy,C,200,8.65,7.88,8.17,7.68,,4.080497,,0.049
ALFISOLS,smectitic,Coarse Loamy,C,350,8.77,7.91,8.43,7.26,,3.395142,,0.049
ANDISOLS,,Coarse Loamy,C,60,5.38,5.04,6.13,4.98,10.2554808,4.8434993,1.1,0.415
ANDISOLS,,Coarse Loamy,B,100,5.31,5.02,6.21,5.21,16.9804533,7.1728334,0.7,0.415
ANDISOLS,,Coarse Loamy,B,100,5.32,5.23,6.45,5.42,12.1531643,6.2646644,0.4,0.415
ANDISOLS,,Sandy,B,200,5.33,5.37,6.51,5.55,11.3887413,3.7536143,0.2,0.415
ANDISOLS,,Coarse Loamy,B,350,5.52,5.45,6.75,5.68,7.3351946,2.8293941,0.2,0.415
ANDISOLS,amorphic,Coarse Loamy,A,15,6.01,5.54,6.64,5.8,79.0694233,49.0330289,30.5,0.415
ANDISOLS,amorphic,Coarse Loamy,A,30,6.2,5.75,6.77,5.93,46.7339643,33.2786487,11.1,0.415
ANDISOLS,amorphic,Coarse Loamy,B,60,6.24,5.87,6.95,6.03,41.5338627,30.6864946,10.9,0.415
ANDISOLS,amorphic,Coarse Loamy,B,100,6.22,5.77,7.06,6.09,40.1223113,27.1335773,10.8,0.415
ANDISOLS,amorphic,Coarse Loamy,B,200,6.28,5.84,7.03,6.05,37.4906798,27.367318,8.2,0.415
ANDISOLS,amorphic,Coarse Loamy,B,200,6.23,5.78,7.18,6.03,40.5077149,29.6994655,8.3,0.415
ANDISOLS,amorphic,Coarse Loamy,B,200,6.19,5.72,7.22,5.84,44.6522669,31.1196461,8.3,0.415
ANDISOLS,amorphic,Coarse Loamy,B,200,6.12,5.71,6.78,5.72,50.1400766,29.0525325,2.6,0.415
ANDISOLS,amorphic,Coarse Loamy,A,30,5.89,5.53,6.01,5.74,60.562922,40.4629124,29.6,0.415
ANDISOLS,amorphic,Coarse Loamy,B,60,5.96,5.51,5.91,5.57,75.9042114,38.1271774,6.5,0.415
ANDISOLS,amorphic,Sandy,B,100,5.76,5.62,5.89,5.72,64.4168623,28.3076884,4.9,0.415
ANDISOLS,amorphic,Sandy,B,200,5.74,5.55,6.09,5.71,75.4593629,36.0707577,4.9,0.415
ANDISOLS,amorphic,Sandy,B,200,5.66,5.53,6.06,5.66,64.0367734,33.5900717,4.3,0.415
ANDISOLS,amorphic,Sandy,A,30,6.01,5.27,5.92,5.74,20.854466,22.4851137,13.7,0.415
ANDISOLS,amorphic,Coarse Loamy,B,60,6.56,5.79,6.3,6.11,16.9442795,22.8750936,17.3,0.415
ANDISOLS,amorphic,Coarse Loamy,B,100,6.67,5.88,6.61,6.45,16.4399694,23.0936025,17.5,0.415
ANDISOLS,amorphic,Sandy,B,200,6.6,6.38,6.64,6.46,18.468716,23.3187782,17.1,0.415
ANDISOLS,amorphic,Coarse Loamy,B,200,6.61,6.29,6.63,6.45,23.862163,31.5932264,24.2,0.415
ANDISOLS,amorphic,Sandy,C,200,5.41,5.53,6.34,5.69,25.76746,12.2889853,0.4,0.415
ANDISOLS,glassy,Coarse Loamy,A,15,5.58,4.95,5.59,5.06,22.528601,16.3392073,7,0.415
ANDISOLS,glassy,Coarse Loamy,A,60,5.22,4.69,6,6.06,25.4822539,14.9120487,5.1,0.415
ANDISOLS,glassy,Coarse Loamy,A,100,5.46,4.83,5.56,5.25,23.5113344,13.1687834,4,0.415
ANDISOLS,glassy,Coarse Loamy,A,200,5.49,4.8,5.53,5.16,51.6820961,22.1514352,6.7,0.415
ANDISOLS,glassy,Sandy,A,200,5.7,5.13,5.77,5.54,19.8631218,10.1666032,3.1,0.415
ANDISOLS,glassy,Sandy,A,200,5.87,5.27,5.97,5.76,19.0820025,10.4137696,4.4,0.415
ANDISOLS,glassy over amorphic,Sandy,B,200,5.94,5.83,6.38,5.65,9.97935,4.1190132,0.2,0.415
ANDISOLS,glassy over amorphic,Sandy,B,200,5.85,5.4,6.45,5.47,18.6992043,8.7573332,1.5,0.415
ANDISOLS,glassy over amorphic,Sandy,B,200,5.83,5.49,6.57,5.56,11.5109084,4.6044808,0.8,0.415
ANDISOLS,glassy over amorphic,Sandy,C,200,6.05,5.82,6.91,6.14,9.4811209,4.7747512,1.2,0.415
ANDISOLS,glassy over amorphic,Sandy,C,200,5.99,5.65,6.7,5.95,8.8092456,5.0427024,1.2,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,A,15,4.58,4.29,4.83,4.49,20.1811239,13.2351234,0.7,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,A,30,5.13,4.62,5.6,4.88,18.5964125,8.8608464,1.5,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,B,60,5.07,5.12,5.8,5.07,36.8396863,17.6180549,0.6,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,B,100,5.11,5.22,6.12,5.47,26.8444913,10.8796886,0.02,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,C,100,5,5.46,6.22,5.72,11.5044869,3.1207954,,0.415
ANDISOLS,glassy over amorphic,Coarse Loamy,B,100,5.08,5.3,6.04,5.32,19.9370273,8.2174259,0.1,0.415
ANDISOLS,isotic,Sandy,A,60,5.77,5.4,6.85,5.69,5.8118099,4.60813,2.5,0.415
ANDISOLS,mixed,Coarse Loamy,A,30,4.95,4.46,5.54,4.53,16.7818241,9.6826519,2.9,0.415
ANDISOLS,mixed,Sandy,C,60,5.6,4.89,6.14,5.16,4.5689504,4.3849697,2.6,0.415
ANDISOLS,mixed,Coarse Loamy,A,100,5.6,5.05,6.21,5.26,19.1487678,10.5274152,3.9,0.415
ANDISOLS,mixed,Coarse Loamy,B,200,5.61,5.13,6.32,5.42,15.0982751,7.4424336,1.6,0.415
ARIDISOLS,mixed,Coarse Loamy,A,15,8.92,7.96,8.79,8.02,0.3687367,18.4820291,50.7,14.68
ARIDISOLS,mixed,Fine Loamy,B,30,8.81,7.99,8.45,7.96,,24.685433,57.6,14.68
ARIDISOLS,mixed,Fine Loamy,B,30,8.8,7.9,8.35,7.89,,23.8997154,45.5,14.68
ARIDISOLS,mixed,Coarse Loamy,A,15,8.55,7.83,8.48,7.74,0.5021192,12.3407212,16.4,14.68
ARIDISOLS,mixed,Coarse Loamy,A,15,8.65,7.76,8.64,7.84,0.0914894,14.0868824,17.2,14.68
ARIDISOLS,mixed,Coarse Loamy,B,30,8.17,7.49,8.31,7.5,,23.9401898,24.3,14.68
ARIDISOLS,mixed,Coarse Loamy,B,30,8.37,7.62,8.39,7.74,0.985554,26.9213066,31.5,14.68
ARIDISOLS,mixed,Sandy,B,100,8.74,7.81,8.6,8.07,,18.4916629,56.4,14.68
ARIDISOLS,mixed,Sandy,B,200,8.57,7.88,8.42,8.01,,26.3477868,52.7,14.68
ARIDISOLS,mixed,Sandy,B,200,8.68,7.69,8.43,8.02,,39.0603918,62.5,14.68
ARIDISOLS,mixed,Sandy,B,350,8.88,8.03,8.63,8.09,,43.6269524,75.3,14.68
ARIDISOLS,mixed,Coarse Loamy,A,15,8.06,7.7,7.72,7.02,,23.7563763,23.9,14.68
ARIDISOLS,mixed,Fine Loamy,B,60,8.64,7.84,8.36,7.75,,51.7512306,70.7,14.68
ARIDISOLS,mixed,Coarse Loamy,A,15,9.35,8.37,8.49,8.21,,13.6295171,38.8,14.68
ARIDISOLS,mixed,Sandy,B,100,9.59,8.71,8.74,8.23,,6.5915376,12.4,14.68
ARIDISOLS,mixed,Sandy,B,200,9.5,8.63,8.69,8.24,,5.3406444,12.4,14.68
ARIDISOLS,mixed,Sandy,B,200,9.3,8.5,8.5,8.22,,7.4400744,18.2,14.68
ARIDISOLS,mixed,Sandy,C,200,9.17,8.42,8.31,8.13,,7.1742544,18.5,14.68
ARIDISOLS,mixed,Sandy,A,30,7.12,6.36,7.1,6.36,0.8667522,21.0364459,26.2,14.68
ARIDISOLS,smectitic,Fine Silty,A,15,6.35,5.6,8.7,8.8,-0.1393773,24.0685375,114.3,14.68
ARIDISOLS,smectitic,Fine Silty,A,15,8.99,8.8,8.91,9.01,,24.1999154,215.5,14.68
ARIDISOLS,smectitic,Clayey,B,30,8.73,8.68,8.7,8.85,,23.9710598,202.6,14.68
ARIDISOLS,smectitic,Clayey,B,60,9.03,8.82,8.72,8.83,0.0948733,25.3883004,148.1,14.68
ARIDISOLS,smectitic,Clayey,C,200,9.83,9.33,9.1,9.22,4.3958526,26.5844158,58.1,14.68
ENTISOLS,,Sandy,C,15,5.57,6.43,6.88,6.03,1.6280962,2.8929085,0.4,0.268
ENTISOLS,,Sandy,C,15,5.84,6.26,6.8,5.86,1.8040901,3.3139197,1.8,0.268
ENTISOLS,,Sandy,C,30,5.85,6.02,6.98,6.04,0.7659905,1.6087668,0.8,0.268
ENTISOLS,,Sandy,C,30,6.59,6.4,7.01,6.59,0.5852612,2.7473992,2.5,0.268
ENTISOLS,,Sandy,C,100,7.01,6.57,7.07,6.32,-0.2245167,0.1488372,0.4,0.268
ENTISOLS,,Sandy,C,100,6.7,6.55,7.1,6.33,-0.1798783,0,0.3,0.268
ENTISOLS,,Sandy,C,100,6.6,6.48,6.94,6.16,0.1798564,0,0.1,0.268
ENTISOLS,,Sandy,C,100,6.64,6.49,7.07,6.51,-0.0449178,0.0832156,0.2,0.268
ENTISOLS,,Sandy,C,200,6.75,6.53,7.11,6.52,0.6741995,0.2178379,0.3,0.268
ENTISOLS,,Sandy,C,200,6.82,6.5,6.58,6.22,0.8094077,0,0.3,0.268
ENTISOLS,glassy,Sandy,A,15,5.16,4.83,5.43,5.07,13.670118,18.5731096,15,0.268
ENTISOLS,glassy,Sandy,C,30,5.72,5.09,6.07,5.27,2.461658,1.1419917,0.2,0.268
ENTISOLS,glassy,Sandy,C,60,5.53,5.12,5.97,5.12,1.4962428,0.6158142,0.1,0.268
ENTISOLS,glassy,Sandy,C,100,5.64,5.53,6.11,5.42,0.9396965,0.2029284,0.1,0.268
ENTISOLS,glassy,Sandy,C,100,4.69,4.74,4.76,4.635,1.583049,1.1633057,0.2,0.268
ENTISOLS,isotic,Sandy,A,15,5.08,4.64,5.29,4.56,8.9093243,4.4404329,1.9,0.268
ENTISOLS,isotic,Sandy,A,30,5.37,4.88,6.26,5.17,3.3969587,1.4266254,0.8,0.268
ENTISOLS,isotic,Sandy,C,60,5.55,5.09,6.05,5.17,0.966987,0.3717285,0.1,0.268
ENTISOLS,isotic,Sandy,C,100,5.98,5.25,6.25,5.36,0.6527679,2.1056691,1.5,0.268
ENTISOLS,mixed,Coarse Loamy,A,15,8.91,8.08,8.85,8.12,,14.7715691,24.9,0.268
ENTISOLS,mixed,Coarse Loamy,C,30,8.88,7.93,8.78,7.94,,16.8856869,25.4,0.268
ENTISOLS,mixed,Coarse Loamy,A,15,10.32,9.98,10.48,10.51,,50.067252,206.4,0.268
ENTISOLS,mixed,Coarse Loamy,B,60,10.36,9.83,10.52,10.43,,35.7537848,124.7,0.268
ENTISOLS,mixed,Sandy,B,60,9.41,8.47,8.98,8.24,,15.6626188,35.3,0.268
ENTISOLS,mixed,Sandy,B,100,9.42,8.43,8.56,8.16,,16.7042162,37.6,0.268
ENTISOLS,mixed,Sandy,B,200,9.19,8.34,8.27,8.07,,13.8421207,35.3,0.268
ENTISOLS,mixed,Coarse Loamy,A,30,7.48,7.33,6.96,6.6,3.5814105,14.2499885,16.7,0.268
ENTISOLS,mixed,Coarse Loamy,A,60,7.38,7.02,7.27,6.76,3.3472649,14.9104372,17.4,0.268
ENTISOLS,mixed,Clayey,C,100,8.35,7.59,8.04,7.59,2.9320171,17.6772727,25.1,0.268
ENTISOLS,mixed,Coarse Loamy,A,15,8.01,7.46,7.93,7.47,2.1097868,13.8298749,43,0.268
ENTISOLS,mixed,Coarse Loamy,C,60,8.41,7.71,8.35,7.78,,9.6701852,39.3,0.268
ENTISOLS,mixed,Fine Silty,C,100,8.46,7.77,7.52,7.59,,9.3951195,37.4,0.268
ENTISOLS,mixed,Fine Loamy,C,350,8.16,6.5,8.45,7.88,,9.5990402,44.2,0.268
ENTISOLS,mixed,Coarse Loamy,A,30,7.35,6.21,7.77,7.39,2.1686426,6.4928433,16.7,0.268
ENTISOLS,mixed,Coarse Loamy,,60,7.63,6.5,7.96,7.55,1.2680767,6.0663883,30.8,0.268
ENTISOLS,mixed,Coarse Loamy,,60,7.16,6.33,7.09,6.63,7.3707446,18.9714626,22.5,0.268
ENTISOLS,mixed,Coarse Loamy,,100,7.38,6.34,7.64,7.13,1.9988042,7.0187259,12,0.268
ENTISOLS,mixed,Coarse Loamy,,100,7.23,6.31,7.24,6.72,3.5900683,8.8895583,11.3,0.268
ENTISOLS,mixed,Coarse Loamy,,200,7.12,6.47,7.4,6.99,4.0324082,7.9647571,12,0.268
